number,type
2,intel xeon e5606
2,intel xeon e5530
2,amd a8-3500m
2,intel xeon e5405
2,intel xeon e5-5530
2,intel xeon e5-4669v3
2,intel xeon e5-4667 v4
2,intel xeon e5-4660v4
2,intel xeon e5-4657l v2
2,intel xeon e5-4650l
2,intel xeon e5-4620v3
2,intel xeon e5-4620 v2
2,intel xeon e5-4620
2,intel xeon gold 6148
2,intel xeon gold 6152
2,intel xeon l5420
2,intel xeon w-2191b
2,intel xeon x5672
2,amd 3950x
2,amd 486
2,amd 7702
2,intel xeon x5260
2,intel xeon w5590
2,intel xeon w3680
2,intel xeon w3530
2,intel xeon w3503
2,intel xeon w-2195
2,intel xeon w-2145
2,intel xeon l5520
2,amd a4-3300m
2,intel xeon silver 4214
2,amd a4-4000
2,intel xeon silver 4116
2,intel xeon q3nw
2,amd a4-8300
2,intel xeon platinum 8175m
2,intel xeon platinum 8158
2,intel xeon platinum 8156 qs
2,intel xeon platinum 8124m
2,intel xeon e5-4610v3
2,intel xeon e5-4610 v2
2,intel xeon e5-2699v3
2,intel xeon e5-2420
2,intel xeon e5-2630lv4
2,intel xeon e5-2630l v4
2,intel xeon e5-2620v3
2,amd athlon ii x4 651k
2,intel xeon e5-2618l v4
2,amd athlon ii x4 950
2,amd athlon mp 2800+
2,amd athlon p320
2,intel xeon e5-2450l
2,amd athlon x2 4050e
2,intel xeon e5-1660 v2
2,amd athlon ii x2 b22
2,amd athlon x4 830
2,intel xeon e5-1650
2,intel xeon e5-1630 v3
2,intel xeon e5-1620 v4
2,amd athlon x4 845
2,amd athlon x4 850
2,intel xeon e5-1607 v4
2,intel xeon e3-1280v3
2,intel xeon e3-1275l v3
2,intel xeon e3-1275 v2
2,amd athlon ii x3 445
2,amd athlon ii x2 255
2,intel xeon e5-2699 v4 es
2,amd athlon 64 x2 5600+
2,amd athlon 3000g
2,intel xeon e5-2696v2
2,amd athlon 64 3100+
2,intel xeon e5-2689
2,intel xeon e5-2687w v3
2,intel xeon e5-2686 v4
2,amd athlon 64 6000+
2,intel xeon e5-2680v4
2,amd athlon 64 x2 4000+
2,intel xeon e5-2667 v4
2,amd athlon 64 x2 6400+
2,amd athlon ii x 2 b24
2,amd athlon 64 x2 ad05000iaa5d0
2,intel xeon e5-2660v2
2,amd athlon cpu 2000
2,intel xeon e5-2658 v2
2,intel xeon e5-2651 v2
2,intel xeon e5-2650v2
2,intel xeon e5-2650l v3
2,intel xeon e5-2650l
2,amd athlon ii p340
2,amd athlon ii x 2 240
2,amd r5 3500x
2,intel core 2 quad q9400s
2,amd ryzen 3 3200ge
2,intel core i5-8400t
2,amd ryzen 5 3600xt
2,intel core i7-2620m
2,amd ryzen 3950x
2,intel core i5-450m
2,intel core 2 duo t7200
2,intel core i3-3250
2,intel core i5-10400
2,intel core duo t2050
2,intel core i5-10500
2,intel core i5-2405s
2,intel core i5-7640x
2,intel core i7-10700k
2,amd ryzen 3600x
2,intel core i5-8600t
2,intel core 2 e7500
2,intel core e5-1607
2,intel core i5-3550s
2,amd ryzen 7 3800xt
2,amd sempron 3100
2,intel core 2 extreme qx6850
2,intel core i7 820qm
2,intel core i5-3475s
2,intel core 2 extreme x6800
2,intel core i3-9100t
2,intel core i3-8100t
2,intel core i3-2120m
2,amd ryzen 5 pro 4650g
2,amd sempron le-1250
2,intel core 2 extreme qx9650
2,intel core 2 duo t7500
2,amd r7 2700x
2,intel core i5-3340m
2,intel core 2 duo p8400
2,intel core 2 quad q9500
2,intel core i5 2320
2,intel core duo
2,amd ryzen threadripper 2920x
2,intel core i7-3520m
2,intel core i3-4360
2,intel core i7-2960xm
2,intel core i7-3720qm
2,intel core i5-3210m
2,intel core i3-2350
2,intel core 2 duo p9600
2,intel core i5-3450s
2,intel core i5-5675c
2,intel core i7-2670qm
2,intel core i5-2540m
2,amd sempron 2100
2,intel core i5 2310
2,intel core i5-3340
1,amd athlon 64 x2 5400+
1,intel xeon e5-2680rv4
1,amd athlon 64 le-1600
1,intel core i5 2450m
1,amd athlon 64 tf-20
1,intel xeon e5-2678 v3
1,amd athlon 64 x 2
1,amd athlon 64 x 2 4400+
1,amd athlon 64 x2 3600+
1,intel xeon e5-2667v3
1,intel xeon e5-2678
1,amd athlon 64 x2 5000b
1,intel xeon e5-2676v3
1,amd athlon 64 x2 5000+
1,intel  i7-8700t
1,amd athlon 64 x2 5000
1,intel xeon e5-2673 v2
1,intel core i7-3740qm
1,intel xeon e5-2689 v4
1,intel core 2 duo 4300
1,amd am486sx2
1,amd athlon 3500+
1,intel core i3-6100te
1,intel xeon e5-2697a v4
1,intel core 2 duo 6400
1,amd athlon 1200
1,intel xeon e5-2698b v3
1,amd athlon 1100
1,intel core 2 duo e6700
1,amd athlon 64 4000+
1,intel xeon e5-2699c v4
1,intel core 2 duo e8300
1,amd am486dx4
1,intel core 2 duo e8435
1,intel core 2 duo p7350
1,intel core i3-480m
1,intel core 2 duo p8700
1,amd athlon 4200+
1,intel core 2 duo 6320
1,intel xeon e5-2696 v4
1,amd athlon 5350
1,amd athlon 64 3800
1,amd athlon 64 3700+
1,amd athlon 64 3700
1,intel core 2 duo 4400
1,amd athlon 64 3400+
1,intel core i3-7350k
1,intel xeon e5-2666 v4
1,amd athlon 64 3400
1,intel core i3-7100t
1,intel core i3-6320
1,amd athlon 64 2850e
1,intel xeon e5-2690v2
1,intel xeon e5-2690v4
1,amd athlon 64 2650e
1,amd athlon 64 1640b
1,intel core i5 2500
1,intel core i5 560m
1,intel core i5 3210m
1,intel core i5-2430m
1,intel xeon e5-2618l v3
1,amd-x4-615e
1,intel xeon e5-2618lv4
1,amd athlon ii x4 740
1,amd athlon ii x4 730
1,amd-x4-640
1,amd athlon ii x4 650
1,intel xeon e5-2628l v4
1,intel core i5 3230m
1,amd athlon ii x4 638
1,amd-x4-730
1,amd athlon ii x4 615e
1,amd-x4-750x
1,intel xeon e5-2630 v4 es
1,amd athlon ii x4 600e
1,intel xeon e5-2630l v2
1,amd athlon ii x4 830
1,amd athlon ii x4 850
1,intel core i5-2500s
1,amd athlon mp 2400
1,intel xeon e5-2428l
1,amd athlon x2 5000+
1,intel xeon e5-2430 v2
1,amd athlon x2 4600+
1,intel xeon e5-2430l v2
1,amd athlon x2 4450e
1,amd athlon x2 4450b
1,amd-fx-770k
1,amd-fx-8370
1,amd athlon x2 4000+
1,amd athlon x2 370k
1,amd athlon x2 3600+
1,amd athlon x2 340
1,amd-fx-870k
1,amd-k6
1,amd athlon ii x3 460
1,intel core i5-2390t
1,amda10-8750
1,intel core i5-10500t
1,intel core i5 9400f
1,amd athlon ii m320
1,intel xeon e5-4627v3
1,intel core i5 52oou
1,intel core i5 520m
1,amd athlon ii 160u
1,intel xeon e5-2650v4 es
1,intel core i5 480m
1,amd athlon fx 74
1,intel core i5 4590t
1,intel core i5 450m
1,amd athlon 800
1,amd athlon 64 x2 tk-57
1,amd athlon 64 x2 ql-64
1,amd athlon 64 x2 ql-62
1,intel  i7-8700k
1,intel xeon e5-2648l v2
1,intel xeon e5-2630v3
1,amd athlon ii x 3 425
1,intel xeon e5-2637
1,amd athlon ii x3 455
1,amdr9-5900x
1,intel  i7-8700
1,intel xeon e5-2637v4
1,amd athlon ii x3 425
1,intel xeon e5-2640 v1
1,amd athlon ii x2 b28
1,intel core i5-2100
1,intel core i5-10600kf
1,intel xeon e5-2640v3
1,intel xeon e5-2640v4
1,intel core i5-10600k
1,amd athlon ii x2 250u
1,amd athlon ii x 4 640
1,amd a8-6600
1,intel core i3-4150t
1,intel xeon e5-4640 v2
1,intel core i3-10100
1,intel core i3-2105
1,intel xeon silver 4215r
1,intel xeon w-2102
1,intel xeon w-2104
1,amd a4-3320m
1,intel xeon w-2135
1,intel core 2 extreme qx9770
1,intel xeon w-2170b
1,amd a4-5300b
1,intel xeon w-2175
1,intel core i3 3220t
1,intel core i3
1,intel xeon w-2223
1,intel xeon w-2275
1,intel xeon w-3223
1,intel xeon w3520
1,amd a4-4300m
1,amd a4-6320
1,intel xeon e5-4640 v4
1,intel xeon platinum 8156 sr3av
1,intel xeon phi 7210
1,intel xeon platinum
1,intel core 2 duo t9800
1,intel xeon platinum 8124m qs
1,intel xeon platinum 8153 qs
1,amd a6 5300m
1,intel core i3-2330e
1,intel core i3-2330
1,intel xeon silver 4109t
1,intel xeon platinum 8160
1,intel xeon platinum 8173m
1,intel xeon platinum 8176
1,intel xeon platinum 8176 es ql1f
1,intel core 2 e8600
1,intel xeon platinum 8260
1,intel xeon platinum sr3b0
1,intel core duo t2600
